Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimoDividendo
RZAK11,Títulos e Val. Mob.,100.0,0.093,0.1483,1.06,340315000,1454050,0.0,0.0,0.0,0.0,0.0,1.5
RZTR11,Híbrido,103.64999999999999,0.1166,0.1372,1.05,1145130000,3017900,15.0,2.16,0.0032,0.1483,0.0,1.25
SADI11,Títulos e Val. Mob.,89.78,0.0953,0.1108,0.89,285519000,527676,0.0,0.0,0.0,0.0,0.0,1.08
SAIC11B,Lajes Corporativas,37.97999999999999,-0.0187,0.0,0.69,54301500,79,1.0,4705.38,0.0,0.0,1.0,0.66
SARE11,Híbrido,76.9,0.1006,0.0977,0.78,710120000,1363130,3.0,2798.48,2.2345,0.0798,0.0,0.65
SCPF11,Shoppings,6.08,0.0454,0.0401,0.49,25536000,5586,1.0,5232.56,7.875800000000001,0.1505,0.2707,0.01
SDIL11,Logística,97.26,0.0901,0.0925,0.98,621983000,1012030,5.0,1719.94,2.052,0.1193,0.0196,0.76
SEED11,Híbrido,100.1,0.0715,0.0596999999999999,0.97,164164000,53214,0.0,0.0,0.0,0.0,0.0,1.24
SEQR11,Outros,66.3,0.11,0.1149,0.69,106647000,249504,4.0,2439.3,3.3673,0.138,0.0,0.67
SHPH11,Shoppings,819.4499999999999,0.0521999999999999,0.0544,0.92,499004000,103909,1.0,14525.2,9.4047,0.0647,0.1047,4.25
SNCI11,Títulos e Val. Mob.,100.44,0.0506,0.1332,1.03,371357000,1778290,0.0,0.0,0.0,0.0,0.0,1.25
SNFF11,Títulos e Val. Mob.,88.94,0.0722,0.0948,0.99,222350000,516443,0.0,0.0,0.0,0.0,0.0,0.65
SOLR11,Híbrido,1128.06,0.1119999999999999,0.0857,1.12,70935800,48,1.0,8757.13,11.4151,0.1304,0.0,7.95
SPTW11,Lajes Corporativas,43.5,0.1864,0.1574,0.82,78213000,170140,1.0,5478.37,11.488599999999998,0.2097,0.0,0.4
SRVD11,Títulos e Val. Mob.,7.22,0.078,0.0405,9.69,695185000,124,0.0,0.0,0.0,0.0,0.0,0.2
TEPP11,Lajes Corporativas,83.15,0.0703,0.0699,0.92,351057000,793532,5.0,10887.7,8.1437,0.0748,0.0834999999999999,0.49
TGAR11,Híbrido,129.75,0.0507,0.1319,1.06,1467420000,3692780,5.0,81.29,0.0109,0.0134,0.0,1.59
TORD11,Híbrido,8.1,0.0607,0.145,0.57,283916000,813788,0.0,0.0,0.0,0.0,0.0,0.08
TRNT11,Lajes Corporativas,112.00000000000001,0.0437,0.0416,0.55,440783000,13820,1.0,6983.56,5.5689,0.0797,0.5036999999999999,0.28
TRXB11,Híbrido,118.0,0.0766,0.0944999999999999,1.02,322200000,1344620,12.0,3390.23,4.3036,0.1268999999999999,0.0,0.95
TRXF11,Híbrido,110.75,0.0794,0.0894,1.07,802362000,3020630,27.0,2691.59,2.6518,0.0984999999999999,0.0,0.85
TSER11,Lajes Corporativas,105.0,0.104,0.1015,1.13,126525000,321649,1.0,2833.34,1.6456,0.0581,0.0,0.86
URPR11,Outros,102.95,0.0432,0.1926999999999999,1.03,1014910000,4564340,0.0,0.0,0.0,0.0,0.0,1.62
VCJR11,Títulos e Val. Mob.,89.65,0.1011,0.1661,0.96,1320000000,1743420,0.0,0.0,0.0,0.0,0.0,0.7
VCRA11,Títulos e Val. Mob.,107.30999999999999,0.0302999999999999,0.0255,1.06,210768000,173812,0.0,0.0,0.0,0.0,0.0,1.5
VCRI11,Títulos e Val. Mob.,8.94,0.0687,0.0628,0.92,158893000,541006,0.0,0.0,0.0,0.0,0.0,0.12
VCRR11,Residencial,81.2,0.1059,0.0981,0.68,162400000,90893,4.0,2583.28,2.1623,0.0837,0.0,0.67
VGHF11,Híbrido,9.86,0.0513,0.1685,1.07,718688000,3101500,0.0,0.0,0.0,0.0,0.0,0.12
