Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimaCotacao,ultimoDividendo
VCJR11,Títulos e Val. Mob.,89.65,10.11%,16.61%,0.96,1320000000,1743420,0,0.00,0.00,0.00%,0.00%,89.65,0.7
VCRA11,Títulos e Val. Mob.,107.31,3.03%,2.55%,1.06,210768000,173812,0,0.00,0.00,0.00%,0.00%,107.31,1.5
VCRI11,Títulos e Val. Mob.,8.94,6.87%,6.28%,0.92,158893000,541006,0,0.00,0.00,0.00%,0.00%,8.94,0.12
VCRR11,Residencial,81.20,10.59%,9.81%,0.68,162400000,90893,4,2583.28,216.23,8.37%,0.00%,81.2,0.67
VGHF11,Híbrido,9.86,5.13%,16.85%,1.07,718688000,3101500,0,0.00,0.00,0.00%,0.00%,9.86,0.12
VGIA11,Títulos e Val. Mob.,10.01,4.39%,9.21%,1.05,353427000,2664600,0,0.00,0.00,0.00%,0.00%,10.01,0.17
VGIP11,Títulos e Val. Mob.,90.82,9.03%,17.60%,0.99,1070520000,3061860,0,0.00,0.00,0.00%,0.00%,90.82,1
VGIR11,Títulos e Val. Mob.,9.83,62.07%,12.87%,0.10,74420600,3119630,0,0.00,0.00,0.00%,0.00%,9.83,0.13
VIFI11,Títulos e Val. Mob.,7.59,29.44%,9.83%,0.87,61397000,203352,0,0.00,0.00,0.00%,0.00%,7.59,0.06
VILG11,Logística,109.39,6.73%,7.51%,0.96,1640570000,2306700,16,2790.88,228.62,8.19%,0.00%,109.39,0.72
VINO11,Lajes Corporativas,49.70,8.98%,9.87%,0.92,823293000,1577170,10,13015.90,930.99,7.15%,0.39%,49.7,0.34
VISC11,Shoppings,110.00,7.13%,7.39%,0.96,1946590000,2540020,19,3299.20,251.91,7.64%,7.40%,110,0.72
VIUR11,Outros,8.26,11.45%,10.15%,0.87,222576000,367724,6,3158.86,288.55,9.13%,0.00%,8.26,0.07
VLOL11,Lajes Corporativas,106.49,6.07%,6.08%,1.03,190066000,383120,1,18118.10,1239.07,6.84%,0.00%,106.49,0.59
VOTS11,Títulos e Val. Mob.,89.28,16.69%,13.23%,0.94,73916100,6544,0,0.00,0.00,0.00%,0.00%,89.28,1.01
VRTA11,Títulos e Val. Mob.,94.85,12.80%,14.81%,1.01,1247520000,2395510,0,0.00,0.00,0.00%,0.00%,94.85,1.1
VSEC11,Títulos e Val. Mob.,50.01,1.52%,9.06%,0.51,3137380,884,0,0.00,0.00,0.00%,0.00%,50.01,0.19
VSHO11,Shoppings,79.67,9.29%,9.84%,0.81,167211000,56126,3,2197.99,362.35,16.49%,7.84%,79.67,0.59
VSLH11,Outros,9.08,9.35%,15.87%,0.87,271166000,877111,0,0.00,0.00,0.00%,0.00%,9.08,0.12
VTLT11,Logística,95.26,10.24%,10.03%,0.93,201475000,275298,1,787.31,91.33,11.60%,0.00%,95.26,0.83
VVPR11,Híbrido,99.99,9.13%,9.09%,1.02,230554000,76002,6,5249.11,526.70,10.03%,0.00%,99.99,0.73
VXXV11,Outros,917.00,-0.27%,0.00%,1.13,242271000,477282,0,0.00,0.00,0.00%,0.00%,917,10.76
WHGR11,Outros,9.48,1.38%,3.44%,0.95,237849000,631647,0,0.00,0.00,0.00%,0.00%,9.48,0.11
WPLZ11,Shoppings,82.90,4.03%,4.71%,0.81,84619900,14403,1,2250.65,104.18,4.63%,11.62%,82.9,0.5
WTSP11B,Híbrido,38.95,12.33%,5.70%,0.47,38660400,128,1,2932.15,403.71,13.77%,6.44%,38.95,0.32
XPCA11,Títulos e Val. Mob.,10.00,5.38%,6.68%,1.05,176870000,1084020,0,0.00,0.00,0.00%,0.00%,10,0.14
XPCI11,Títulos e Val. Mob.,91.00,6.36%,13.74%,0.94,791841000,2605260,0,0.00,0.00,0.00%,0.00%,91,0.96
XPCM11,Lajes Corporativas,19.50,11.13%,10.00%,0.37,47084100,150427,1,2068.86,0.00,0.00%,100.00%,19.5,0.12
XPHT11,Hotel,112.11,0.39%,1.86%,1.19,426538000,262342,11,20932.80,172.14,0.82%,58.74%,112.11,0.65
XPIN11,Outros,82.50,7.82%,8.95%,0.75,589910000,562907,100,2165.36,182.21,8.41%,0.00%,82.5,0.61
XPLG11,Logística,109.64,6.80%,7.23%,0.96,2971360000,4283760,16,2220.31,176.20,7.94%,8.19%,109.64,0.72
XPML11,Shoppings,104.87,7.43%,7.46%,1.06,1959140000,3768680,10,5712.71,392.74,6.87%,4.19%,104.87,0.73
XPPR11,Outros,45.96,12.69%,11.76%,0.60,336251000,884228,6,7254.63,572.21,7.89%,34.73%,45.96,0.3
XPSF11,Títulos e Val. Mob.,7.64,8.67%,10.77%,0.90,330828000,705708,0,0.00,0.00,0.00%,0.00%,7.64,0.08
XTED11,Lajes Corporativas,7.10,-3.89%,0.00%,0.51,13954500,12547,1,1868.47,0.00,0.00%,0.00%,7.1,11.16
YUFI11,Residencial,100.00,5.95%,1.74%,0.95,39515000,33,31,7656.98,712.17,9.30%,0.00%,100,0.63
ZIFI11,Híbrido,1140.00,-1.65%,0.71%,0.95,28203600,7763,0,0.00,0.00,0.00%,0.00%,1140,3.3
