<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	11:08:00	5327.000	5328.500	5324.000	5327.500	3568	12541	500
2022.11.16	11:09:00	5327.500	5327.500	5318.000	5319.000	3767	10705	500
2022.11.16	11:10:00	5318.500	5320.000	5314.500	5318.000	4074	11347	500
2022.11.16	11:11:00	5318.500	5325.000	5318.000	5322.500	4741	13829	500
2022.11.16	11:12:00	5322.500	5326.000	5319.500	5323.000	2643	8202	500
2022.11.16	11:13:00	5323.000	5325.000	5322.500	5324.500	1131	4083	500
2022.11.16	11:14:00	5324.500	5325.500	5320.000	5321.000	2367	8237	500
2022.11.16	11:15:00	5321.000	5323.000	5318.000	5319.000	2841	8820	500
2022.11.16	11:16:00	5319.000	5326.000	5318.500	5323.500	2327	6594	500
2022.11.16	11:17:00	5323.500	5328.500	5322.500	5327.000	2305	8408	500
2022.11.16	11:18:00	5327.000	5329.000	5325.000	5325.500	2574	7583	500
2022.11.16	11:19:00	5325.500	5326.500	5318.000	5318.500	3586	10764	500
2022.11.16	11:20:00	5319.000	5319.000	5304.500	5306.500	10535	29107	500
2022.11.16	11:21:00	5307.000	5313.000	5306.500	5309.500	3582	9690	500
2022.11.16	11:22:00	5309.500	5316.500	5308.500	5315.000	4009	10711	500
2022.11.16	11:23:00	5314.500	5320.000	5314.000	5319.500	3277	8658	500
2022.11.16	11:24:00	5319.500	5321.000	5314.500	5316.500	3226	9556	500
2022.11.16	11:25:00	5316.500	5319.500	5315.500	5319.500	1791	5312	500
2022.11.16	11:26:00	5319.500	5320.000	5313.000	5318.000	2863	8546	500
2022.11.16	11:27:00	5318.000	5326.000	5317.000	5322.000	4753	13428	500
2022.11.16	11:28:00	5321.500	5324.000	5319.500	5322.000	2685	8825	500
2022.11.16	11:29:00	5322.000	5325.000	5321.500	5324.000	2015	8764	500
2022.11.16	11:30:00	5324.000	5325.000	5318.500	5319.500	3554	8265	500
2022.11.16	11:31:00	5320.000	5322.500	5315.500	5316.500	3931	9826	500
2022.11.16	11:32:00	5316.500	5319.500	5311.500	5314.000	4603	11977	500
2022.11.16	11:33:00	5314.000	5316.500	5311.500	5315.500	3226	8982	500
2022.11.16	11:34:00	5315.500	5317.000	5312.500	5313.000	2387	5719	500
2022.11.16	11:35:00	5313.000	5317.000	5313.000	5313.500	2336	7323	500
2022.11.16	11:36:00	5313.500	5319.000	5312.500	5319.000	2726	8530	500
2022.11.16	11:37:00	5319.000	5320.500	5316.000	5318.500	2345	6721	500
2022.11.16	11:38:00	5319.000	5327.500	5318.000	5325.500	4570	13259	500
2022.11.16	11:39:00	5325.000	5330.000	5325.000	5326.500	4480	13421	500
2022.11.16	11:40:00	5326.500	5329.000	5325.000	5325.500	2402	8733	500
2022.11.16	11:41:00	5325.500	5329.000	5322.000	5326.500	3724	13704	500
2022.11.16	11:42:00	5326.500	5332.000	5324.500	5329.500	3524	10590	500
2022.11.16	11:43:00	5330.000	5334.500	5329.000	5333.000	5366	16642	500
2022.11.16	11:44:00	5333.500	5337.000	5331.000	5334.000	3858	11128	500
2022.11.16	11:45:00	5334.000	5335.000	5325.500	5326.000	5347	15888	500
2022.11.16	11:46:00	5326.000	5335.000	5325.000	5330.000	3935	11157	500
2022.11.16	11:47:00	5329.500	5336.000	5327.500	5334.500	2865	7370	500
2022.11.16	11:48:00	5335.000	5338.000	5333.500	5336.500	3413	9848	500
2022.11.16	11:49:00	5337.000	5339.500	5336.000	5339.000	2826	8641	500
2022.11.16	11:50:00	5339.000	5341.500	5337.000	5339.500	4221	13435	500
