<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	12:41:00	110982	110982	110904	110904	42720	320759200	0
2022.11.16	12:42:00	110861	110861	110792	110792	62201	504808600	0
2022.11.16	12:43:00	110732	110762	110732	110762	38253	334082300	0
2022.11.16	12:44:00	110877	110891	110877	110891	39943	305820900	0
2022.11.16	12:45:00	110838	110838	110805	110805	32493	222928300	0
2022.11.16	12:46:00	110896	110896	110849	110849	35334	239575300	0
2022.11.16	12:47:00	110804	110809	110804	110809	38892	358760500	0
2022.11.16	12:48:00	110826	110826	110819	110819	32818	271275530	0
2022.11.16	12:49:00	110812	110812	110764	110764	36827	285295900	0
2022.11.16	12:50:00	110817	110817	110788	110788	33941	323266800	0
2022.11.16	12:51:00	110834	110834	110773	110773	33711	236062500	0
2022.11.16	12:52:00	110779	110790	110779	110790	23561	154209960	0
2022.11.16	12:53:00	110783	110783	110749	110749	24503	203853600	0
2022.11.16	12:54:00	110751	110751	110640	110640	45060	342362220	0
2022.11.16	12:55:00	110587	110672	110587	110672	41663	344547300	0
2022.11.16	12:56:00	110686	110686	110620	110620	27635	256485810	0
2022.11.16	12:57:00	110636	110767	110636	110767	38380	308414000	0
2022.11.16	12:58:00	110790	110790	110767	110767	29176	188952700	0
2022.11.16	12:59:00	110740	110764	110740	110764	21846	140806530	0
2022.11.16	13:00:00	110760	110817	110760	110817	29752	193469430	0
2022.11.16	13:01:00	110822	110822	110754	110754	27115	182355860	0
2022.11.16	13:02:00	110724	110724	110717	110717	30269	216620530	0
2022.11.16	13:03:00	110730	110730	110719	110719	25001	181239860	0
2022.11.16	13:04:00	110682	110707	110682	110707	31967	202902600	0
2022.11.16	13:05:00	110740	110777	110740	110777	28638	223886790	0
2022.11.16	13:06:00	110786	110786	110693	110693	34056	229115500	0
2022.11.16	13:07:00	110704	110747	110704	110747	22360	136082000	0
2022.11.16	13:08:00	110743	110746	110743	110746	19938	109763420	0
2022.11.16	13:09:00	110711	110711	110696	110696	32033	204335400	0
2022.11.16	13:10:00	110572	110572	110555	110555	51168	440768600	0
2022.11.16	13:11:00	110609	110674	110609	110674	29724	260362600	0
2022.11.16	13:12:00	110660	110660	110602	110602	31193	191393280	0
